NAME,CITY,STATE,YEAR,TOT_UNITS,MED_VALUE,MED_RENT,OCCUP_OCCUP,VACANT,OCCUP_TENURE,OCCUP_OWNR,OCCUP_RENTR,BUILT_2020,BUILT_2010,BUILT_2000,BUILT_1990,BUILT_1980,BUILT_1970,BUILT_1960,BUILT_1950,BUILT_1940,BUILT_1939
"Alhambra city, California",Alhambra city, California,2010,29941,488500.0,1148.0,28100,1841,10693,17407,2.96,85.0,937.0,1859.0,4677.0,2456.0,3235.0,4115.0,4113.0,8464.0,29941.0
"Anaheim city, California",Anaheim city, California,2010,107363,406200.0,1240.0,100404,6959,48584,51820,3.42,3869.0,3080.0,10819.0,12701.0,26905.0,21416.0,22722.0,2735.0,3116.0,107363.0
"Antioch city, California",Antioch city, California,2010,35266,233900.0,1267.0,30970,4296,19439,11531,3.21,971.0,4084.0,5282.0,7289.0,8217.0,4434.0,1748.0,1946.0,1295.0,35266.0
"Apple Valley town, California",Apple Valley town, California,2010,26470,170500.0,1012.0,23900,2570,16895,7005,2.81,3655.0,3052.0,2595.0,8459.0,4839.0,1665.0,1724.0,481.0,0.0,26470.0
"Arden-Arcade CDP, California",Arden-Arcade CDP, California,2010,44307,271500.0,838.0,39936,4371,18480,21456,2.15,402.0,1197.0,1894.0,4104.0,9265.0,8606.0,14743.0,3504.0,592.0,44307.0
"Bakersfield city, California",Bakersfield city, California,2010,118727,178300.0,880.0,109420,9307,64761,44659,3.14,15418.0,17462.0,16864.0,21114.0,19652.0,10090.0,8528.0,4779.0,4820.0,118727.0
"Baldwin Park city, California",Baldwin Park city, California,2010,17678,277200.0,1187.0,17045,633,10257,6788,4.5,642.0,510.0,1333.0,3686.0,1953.0,3061.0,3967.0,1519.0,1007.0,17678.0
"Bellflower city, California",Bellflower city, California,2010,27176,342800.0,1083.0,25199,1977,10132,15067,3.26,256.0,929.0,1359.0,3951.0,3379.0,3860.0,8724.0,2772.0,1946.0,27176.0
"Berkeley city, California",Berkeley city, California,2010,48113,748300.0,1270.0,44724,3389,17737,26987,2.47,753.0,783.0,1200.0,2550.0,2828.0,4103.0,6699.0,4410.0,24787.0,48113.0
"Buena Park city, California",Buena Park city, California,2010,23391,403700.0,1317.0,23126,265,12533,10593,3.57,866.0,266.0,1359.0,2342.0,4406.0,3925.0,8864.0,606.0,757.0,23391.0
"Burbank city, California",Burbank city, California,2010,44727,548100.0,1296.0,42231,2496,18455,23776,2.69,1112.0,1659.0,3788.0,4124.0,4947.0,5567.0,8882.0,10239.0,4409.0,44727.0
"Camarillo city, California",Camarillo city, California,2010,26326,461800.0,1508.0,25340,986,17709,7631,2.61,1537.0,1976.0,3901.0,4783.0,8695.0,3987.0,836.0,218.0,393.0,26326.0
"Carlsbad city, California",Carlsbad city, California,2010,44946,614200.0,1531.0,40934,4012,26491,14443,2.78,3012.0,6101.0,8674.0,11428.0,11189.0,2856.0,1233.0,192.0,261.0,44946.0
"Carson city, California",Carson city, California,2010,25506,352100.0,1358.0,24875,631,17438,7437,3.62,204.0,889.0,1115.0,1480.0,3737.0,9543.0,5219.0,2301.0,1018.0,25506.0
"Chico city, California",Chico city, California,2010,38826,279200.0,872.0,34128,4698,15456,18672,2.49,2780.0,3486.0,7058.0,5799.0,7027.0,4550.0,4156.0,1099.0,2871.0,38826.0
"Chino city, California",Chino city, California,2010,21721,332800.0,1154.0,20148,1573,14462,5686,3.47,3381.0,2106.0,2994.0,3638.0,5943.0,1316.0,1297.0,498.0,548.0,21721.0
"Chino Hills city, California",Chino Hills city, California,2010,22615,494900.0,1715.0,21151,1464,17977,3174,3.6,1049.0,2230.0,8245.0,7708.0,2023.0,536.0,461.0,243.0,120.0,22615.0
"Chula Vista city, California",Chula Vista city, California,2010,86206,358600.0,1263.0,74991,11215,44572,30419,3.25,6060.0,14913.0,14099.0,10684.0,11166.0,16463.0,9386.0,1944.0,1491.0,86206.0
"Citrus Heights city, California",Citrus Heights city, California,2010,35990,201100.0,952.0,33165,2825,18342,14823,2.52,84.0,1023.0,2946.0,8187.0,13053.0,5474.0,3300.0,1062.0,861.0,35990.0
"Clovis city, California",Clovis city, California,2010,35369,268800.0,1006.0,32299,3070,19503,12796,3.18,4609.0,6116.0,6977.0,5973.0,6154.0,2943.0,1081.0,761.0,755.0,35369.0
"Compton city, California",Compton city, California,2010,26623,241200.0,999.0,24303,2320,12809,11494,3.99,618.0,379.0,285.0,2520.0,2009.0,3260.0,8214.0,5672.0,3666.0,26623.0
"Concord city, California",Concord city, California,2010,49114,364600.0,1223.0,44705,4409,27126,17579,2.6,832.0,1770.0,1827.0,5174.0,14111.0,13074.0,8745.0,2960.0,621.0,49114.0
"Corona city, California",Corona city, California,2010,47233,314900.0,1296.0,43598,3635,28526,15072,3.43,1930.0,6551.0,14747.0,12208.0,5411.0,2824.0,1631.0,827.0,1104.0,47233.0
"Costa Mesa city, California",Costa Mesa city, California,2010,43171,583100.0,1398.0,39391,3780,16914,22477,2.7,1576.0,1413.0,2009.0,5698.0,10805.0,10923.0,9012.0,934.0,801.0,43171.0
"Daly City city, California",Daly City city, California,2010,31733,554200.0,1434.0,30351,1382,15931,14420,3.46,177.0,1041.0,2236.0,2899.0,7313.0,5344.0,7274.0,3191.0,2258.0,31733.0
"Davis city, California",Davis city, California,2010,25613,559800.0,1225.0,23434,2179,11382,12052,2.67,978.0,2193.0,5351.0,3956.0,6291.0,3741.0,2169.0,112.0,822.0,25613.0
"Downey city, California",Downey city, California,2010,35682,438100.0,1168.0,34108,1574,16882,17226,3.36,316.0,253.0,1208.0,2687.0,4669.0,3744.0,15382.0,6251.0,1172.0,35682.0
"East Los Angeles CDP, California",East Los Angeles CDP, California,2010,32660,312100.0,888.0,31027,1633,11267,19760,4.36,333.0,85.0,1044.0,1353.0,2575.0,6328.0,6837.0,5722.0,8383.0,32660.0
"El Cajon city, California",El Cajon city, California,2010,31577,318500.0,1020.0,29599,1978,10643,18956,3.11,300.0,1196.0,2427.0,4481.0,8816.0,5898.0,7067.0,654.0,738.0,31577.0
"Elk Grove city, California",Elk Grove city, California,2010,51893,258300.0,1374.0,49300,2593,36558,12742,3.08,7197.0,14516.0,17371.0,7383.0,2466.0,1448.0,896.0,206.0,410.0,51893.0
