NAME,CITY,STATE,YEAR,TOT_UNITS,MED_VALUE,MED_RENT,OCCUP_OCCUP,VACANT,OCCUP_TENURE,OCCUP_OWNR,OCCUP_RENTR,BUILT_2020,BUILT_2010,BUILT_2000,BUILT_1990,BUILT_1980,BUILT_1970,BUILT_1960,BUILT_1950,BUILT_1940,BUILT_1939
"Mount Vernon city, New York",Mount Vernon city, New York,2010,29786,422700.0,1084.0,25975,3811,9584,16391,2.63,325.0,599.0,793.0,1308.0,1785.0,2164.0,5826.0,7972.0,9014.0,29786.0
"New Rochelle city, New York",New Rochelle city, New York,2010,30669,570900.0,1239.0,27874,2795,14681,13193,2.73,991.0,1600.0,889.0,1332.0,2517.0,2603.0,4677.0,3261.0,12799.0,30669.0
"New York city, New York",New York city, New York,2010,3370647,504500.0,1129.0,3039467,331180,976294,2063173,2.86,102860.0,114434.0,114297.0,144315.0,240460.0,432490.0,473753.0,371224.0,1376814.0,3370647.0
"Rochester city, New York",Rochester city, New York,2010,99788,74800.0,709.0,85821,13967,34028,51793,2.42,856.0,923.0,2478.0,2854.0,8439.0,6554.0,9118.0,8851.0,59715.0,99788.0
"Schenectady city, New York",Schenectady city, New York,2010,31894,121600.0,796.0,24684,7210,12239,12445,2.52,271.0,386.0,1300.0,1616.0,2135.0,2108.0,3057.0,1634.0,19387.0,31894.0
"Syracuse city, New York",Syracuse city, New York,2010,63539,88400.0,662.0,53906,9633,20207,33699,2.49,378.0,804.0,2380.0,1561.0,5655.0,4829.0,9953.0,9406.0,28573.0,63539.0
"Yonkers city, New York",Yonkers city, New York,2010,78656,414200.0,1120.0,73616,5040,36618,36998,2.8,1485.0,1214.0,2159.0,2248.0,7575.0,13026.0,17681.0,6611.0,26657.0,78656.0
"Asheville city, North Carolina",Asheville city, North Carolina,2010,42188,190500.0,781.0,38119,4069,19213,18906,2.16,3171.0,3639.0,5068.0,5565.0,4807.0,4928.0,4637.0,2798.0,7575.0,42188.0
"Cary town, North Carolina",Cary town, North Carolina,2010,53700,297100.0,885.0,50247,3453,35706,14541,2.87,10456.0,6394.0,16945.0,9827.0,6650.0,2157.0,976.0,227.0,68.0,53700.0
"Charlotte city, North Carolina",Charlotte city, North Carolina,2010,320467,177300.0,823.0,284113,36354,166456,117657,2.65,31880.0,49322.0,64024.0,53482.0,45561.0,35306.0,22373.0,10306.0,8213.0,320467.0
"Concord city, North Carolina",Concord city, North Carolina,2010,34120,172400.0,768.0,29558,4562,21144,8414,2.77,3375.0,6358.0,7783.0,4975.0,1558.0,2721.0,2627.0,1596.0,3127.0,34120.0
"Durham city, North Carolina",Durham city, North Carolina,2010,104019,178700.0,787.0,92419,11600,47169,45250,2.37,9730.0,13734.0,20370.0,18439.0,12606.0,9854.0,6705.0,5054.0,7527.0,104019.0
"Fayetteville city, North Carolina",Fayetteville city, North Carolina,2010,87931,123300.0,836.0,75187,12744,39716,35471,2.37,8172.0,6853.0,15456.0,15586.0,18163.0,12228.0,6944.0,2452.0,2077.0,87931.0
"Gastonia city, North Carolina",Gastonia city, North Carolina,2010,31728,132500.0,711.0,27988,3740,16602,11386,2.6,2761.0,2205.0,4894.0,3728.0,5246.0,4802.0,4314.0,1554.0,2224.0,31728.0
"Greensboro city, North Carolina",Greensboro city, North Carolina,2010,125702,149300.0,691.0,109255,16447,58373,50882,2.48,7410.0,11972.0,24672.0,21627.0,20985.0,14963.0,12871.0,4880.0,6322.0,125702.0
"Greenville city, North Carolina",Greenville city, North Carolina,2010,40668,156500.0,675.0,33608,7060,14859,18749,2.37,8369.0,5753.0,9217.0,5718.0,4723.0,2561.0,3003.0,703.0,621.0,40668.0
"High Point city, North Carolina",High Point city, North Carolina,2010,44634,145900.0,729.0,38849,5785,21929,16920,2.55,4496.0,6843.0,5867.0,6458.0,6124.0,3476.0,5276.0,2401.0,3693.0,44634.0
"Jacksonville city, North Carolina",Jacksonville city, North Carolina,2010,21380,166700.0,995.0,20206,1174,7134,13072,2.67,3292.0,2732.0,2833.0,3366.0,3319.0,1850.0,1850.0,1841.0,297.0,21380.0
"Raleigh city, North Carolina",Raleigh city, North Carolina,2010,180371,212800.0,844.0,159935,20436,88955,70980,2.48,24954.0,29887.0,35142.0,33678.0,21728.0,13994.0,10087.0,5484.0,5417.0,180371.0
"Wilmington city, North Carolina",Wilmington city, North Carolina,2010,51190,237800.0,815.0,44398,6792,21334,23064,2.3,3405.0,5381.0,11509.0,7868.0,5449.0,4652.0,3544.0,4831.0,4551.0,51190.0
"Winston-Salem city, North Carolina",Winston-Salem city, North Carolina,2010,104122,138500.0,670.0,89380,14742,52190,37190,2.51,6614.0,7300.0,14112.0,13414.0,17791.0,15059.0,14348.0,6462.0,9022.0,104122.0
"Fargo city, North Dakota",Fargo city, North Dakota,2010,49640,156000.0,610.0,47349,2291,20401,26948,2.51,4074.0,4153.0,10415.0,7309.0,8229.0,4553.0,3977.0,1390.0,5540.0,49640.0
"Akron city, Ohio",Akron city, Ohio,2010,96840,88100.0,640.0,82046,14794,44988,37058,2.38,1606.0,2406.0,5876.0,5915.0,10285.0,9962.0,17347.0,8719.0,34724.0,96840.0
"Canton city, Ohio",Canton city, Ohio,2010,34086,78600.0,591.0,29286,4800,16154,13132,2.39,226.0,1237.0,1240.0,1595.0,2267.0,2837.0,5200.0,4147.0,15337.0,34086.0
"Cincinnati city, Ohio",Cincinnati city, Ohio,2010,161201,131300.0,628.0,126145,35056,53430,72715,2.36,2556.0,2843.0,4950.0,6724.0,12501.0,21691.0,21477.0,15535.0,72924.0,161201.0
"Cleveland city, Ohio",Cleveland city, Ohio,2010,214220,81200.0,644.0,164990,49230,77462,87528,2.35,2281.0,4388.0,4609.0,4146.0,11233.0,14885.0,26714.0,25862.0,120102.0,214220.0
"Columbus city, Ohio",Columbus city, Ohio,2010,370544,137700.0,757.0,319428,51116,151463,167965,2.47,13972.0,30332.0,61657.0,48376.0,52348.0,46292.0,44543.0,21753.0,51271.0,370544.0
"Dayton city, Ohio",Dayton city, Ohio,2010,73834,72000.0,646.0,57997,15837,30022,27975,2.36,749.0,2030.0,2146.0,3942.0,6358.0,8607.0,12747.0,11212.0,26043.0,73834.0
"Lorain city, Ohio",Lorain city, Ohio,2010,28119,101600.0,629.0,24916,3203,14584,10332,2.55,967.0,611.0,943.0,1780.0,3863.0,5082.0,5187.0,3212.0,6474.0,28119.0
"Parma city, Ohio",Parma city, Ohio,2010,35854,122100.0,702.0,32493,3361,25312,7181,2.53,180.0,435.0,1255.0,1048.0,3808.0,6684.0,14891.0,3830.0,3723.0,35854.0
"Toledo city, Ohio",Toledo city, Ohio,2010,137230,87700.0,611.0,116064,21166,66253,49811,2.52,2024.0,3303.0,4361.0,8317.0,15703.0,14942.0,29081.0,12307.0,47192.0,137230.0
"Youngstown city, Ohio",Youngstown city, Ohio,2010,35007,48200.0,554.0,27673,7334,17392,10281,2.19,236.0,293.0,692.0,1232.0,1232.0,4756.0,8482.0,4074.0,14010.0,35007.0
"Broken Arrow city, Oklahoma",Broken Arrow city, Oklahoma,2010,37764,146200.0,948.0,35620,2144,28557,7063,2.71,3977.0,6007.0,6545.0,7045.0,9556.0,2521.0,846.0,407.0,860.0,37764.0
"Edmond city, Oklahoma",Edmond city, Oklahoma,2010,31713,193700.0,780.0,29370,2343,20393,8977,2.92,2996.0,4581.0,6622.0,7744.0,5499.0,2315.0,1057.0,196.0,703.0,31713.0
"Lawton city, Oklahoma",Lawton city, Oklahoma,2010,39395,109000.0,664.0,35891,3504,16997,18894,2.42,2667.0,1771.0,2324.0,6248.0,9071.0,6935.0,5829.0,2415.0,2135.0,39395.0
"Norman city, Oklahoma",Norman city, Oklahoma,2010,48611,147300.0,754.0,43020,5591,24163,18857,2.41,3943.0,6150.0,5823.0,8388.0,8884.0,7509.0,4069.0,2215.0,1630.0,48611.0
"Oklahoma City city, Oklahoma",Oklahoma City city, Oklahoma,2010,256335,130800.0,699.0,223238,33097,137176,86062,2.65,17708.0,18955.0,24232.0,41193.0,43989.0,36964.0,32308.0,15178.0,25808.0,256335.0
"Tulsa city, Oklahoma",Tulsa city, Oklahoma,2010,187281,125300.0,691.0,163173,24108,88872,74301,2.42,4786.0,8459.0,18052.0,25375.0,40774.0,29772.0,30657.0,13123.0,16283.0,187281.0
"Beaverton city, Oregon",Beaverton city, Oregon,2010,39484,292900.0,872.0,36661,2823,18694,17967,2.55,2568.0,3871.0,8224.0,8145.0,7471.0,5293.0,2323.0,1043.0,546.0,39484.0
"Bend city, Oregon",Bend city, Oregon,2010,38422,263400.0,890.0,32865,5557,19815,13050,2.32,5457.0,7372.0,8092.0,5819.0,5951.0,1576.0,1114.0,783.0,2258.0,38422.0
"Eugene city, Oregon",Eugene city, Oregon,2010,70421,246600.0,780.0,66437,3984,34152,32285,2.32,3603.0,5348.0,12553.0,5679.0,17552.0,9511.0,7877.0,4616.0,3682.0,70421.0
"Gresham city, Oregon",Gresham city, Oregon,2010,41745,234800.0,830.0,39658,2087,20750,18908,2.91,2022.0,3459.0,9357.0,6112.0,10928.0,4271.0,3181.0,1034.0,1381.0,41745.0
"Hillsboro city, Oregon",Hillsboro city, Oregon,2010,33337,250700.0,975.0,30868,2469,17539,13329,3.02,4508.0,5378.0,11364.0,3129.0,4298.0,1742.0,1163.0,1231.0,524.0,33337.0
"Medford city, Oregon",Medford city, Oregon,2010,31999,219700.0,769.0,29650,2349,16355,13295,2.69,3714.0,3516.0,5304.0,3748.0,5713.0,2966.0,2830.0,1584.0,2624.0,31999.0
"Portland city, Oregon",Portland city, Oregon,2010,263890,289800.0,838.0,244192,19698,129761,114431,2.55,12890.0,17543.0,24015.0,15212.0,30659.0,27205.0,35697.0,22046.0,78623.0,263890.0
"Salem city, Oregon",Salem city, Oregon,2010,62699,192400.0,736.0,59160,3539,34601,24559,2.55,4639.0,5235.0,11954.0,7510.0,12665.0,4342.0,7683.0,3404.0,5267.0,62699.0
"Allentown city, Pennsylvania",Allentown city, Pennsylvania,2010,47938,145100.0,801.0,44013,3925,19826,24187,2.64,1748.0,810.0,2346.0,5064.0,3435.0,6712.0,5768.0,3306.0,18749.0,47938.0
"Bethlehem city, Pennsylvania",Bethlehem city, Pennsylvania,2010,31908,184500.0,870.0,29349,2559,15183,14166,2.41,1777.0,904.0,1750.0,2915.0,3176.0,2810.0,5805.0,2943.0,9828.0,31908.0
"Erie city, Pennsylvania",Erie city, Pennsylvania,2010,45477,83800.0,582.0,41017,4460,20171,20846,2.68,498.0,640.0,1166.0,2523.0,4951.0,2360.0,8018.0,5558.0,19763.0,45477.0
"Philadelphia city, Pennsylvania",Philadelphia city, Pennsylvania,2010,670022,142800.0,836.0,575413,94609,311284,264129,2.73,11731.0,9587.0,17619.0,23418.0,41987.0,69843.0,115387.0,105562.0,274888.0,670022.0
"Pittsburgh city, Pennsylvania",Pittsburgh city, Pennsylvania,2010,153756,88000.0,717.0,129828,23928,66693,63135,2.36,2333.0,3720.0,3065.0,6703.0,9631.0,13372.0,18509.0,14098.0,82325.0,153756.0
"Reading city, Pennsylvania",Reading city, Pennsylvania,2010,35150,70500.0,649.0,31357,3793,13405,17952,2.85,366.0,515.0,1082.0,1610.0,1914.0,2001.0,3341.0,2861.0,21460.0,35150.0
"Scranton city, Pennsylvania",Scranton city, Pennsylvania,2010,35692,113100.0,667.0,30123,5569,16471,13652,2.49,382.0,320.0,935.0,1167.0,2370.0,2357.0,3204.0,3553.0,21404.0,35692.0
"Cranston city, Rhode Island",Cranston city, Rhode Island,2010,32256,229700.0,882.0,29595,2661,20142,9453,2.79,594.0,911.0,901.0,2671.0,3305.0,3943.0,5209.0,3012.0,11710.0,32256.0
"Pawtucket city, Rhode Island",Pawtucket city, Rhode Island,2010,33596,194800.0,767.0,29638,3958,13387,16251,2.73,425.0,277.0,1185.0,1010.0,2435.0,3005.0,4144.0,3415.0,17700.0,33596.0
"Providence city, Rhode Island",Providence city, Rhode Island,2010,70761,209800.0,889.0,57037,13724,20891,36146,2.87,1280.0,1970.0,2124.0,3658.0,5241.0,3141.0,5686.0,3051.0,44610.0,70761.0
"Warwick city, Rhode Island",Warwick city, Rhode Island,2010,38845,214600.0,944.0,35651,3194,25260,10391,2.53,873.0,825.0,2106.0,3552.0,4982.0,5578.0,8560.0,4033.0,8336.0,38845.0
"Charleston city, South Carolina",Charleston city, South Carolina,2010,59845,258000.0,882.0,51818,8027,26744,25074,2.24,6409.0,8981.0,7810.0,8789.0,6301.0,5854.0,4517.0,1957.0,9227.0,59845.0
"Columbia city, South Carolina",Columbia city, South Carolina,2010,54066,159800.0,751.0,47290,6776,22427,24863,2.21,4886.0,4615.0,5887.0,5107.0,6619.0,6731.0,8103.0,5294.0,6824.0,54066.0
"Mount Pleasant town, South Carolina",Mount Pleasant town, South Carolina,2010,29448,334800.0,1212.0,27243,2205,20045,7198,2.56,3377.0,5464.0,7838.0,5555.0,3537.0,1481.0,1496.0,248.0,452.0,29448.0
"North Charleston city, South Carolina",North Charleston city, South Carolina,2010,41302,153800.0,823.0,34048,7254,15961,18087,2.68,6946.0,5041.0,5748.0,5107.0,6465.0,3792.0,5624.0,2105.0,474.0,41302.0
"Rock Hill city, South Carolina",Rock Hill city, South Carolina,2010,29162,144900.0,731.0,24858,4304,13051,11807,2.63,3295.0,5199.0,5656.0,3310.0,4267.0,3031.0,2905.0,844.0,655.0,29162.0
"Rapid City city, South Dakota",Rapid City city, South Dakota,2010,31904,150100.0,722.0,30094,1810,17312,12782,2.37,2495.0,2010.0,4195.0,3227.0,7709.0,4277.0,4272.0,1519.0,2200.0,31904.0
"Sioux Falls city, South Dakota",Sioux Falls city, South Dakota,2010,66647,151900.0,646.0,61906,4741,37402,24504,2.58,6001.0,9609.0,11505.0,8697.0,9319.0,5001.0,5391.0,4285.0,6839.0,66647.0
"Chattanooga city, Tennessee",Chattanooga city, Tennessee,2010,81046,135700.0,681.0,71098,9948,38092,33006,2.21,5732.0,6149.0,6727.0,9266.0,10628.0,12863.0,10773.0,4435.0,14473.0,81046.0
"Clarksville city, Tennessee",Clarksville city, Tennessee,2010,54485,134400.0,773.0,47005,7480,27621,19384,2.78,7777.0,7708.0,11226.0,7568.0,8957.0,5120.0,3326.0,1458.0,1345.0,54485.0
"Jackson city, Tennessee",Jackson city, Tennessee,2010,28183,118400.0,721.0,22538,5645,12414,10124,2.74,1939.0,3020.0,4952.0,2577.0,5419.0,2186.0,3356.0,2275.0,2459.0,28183.0
"Knoxville city, Tennessee",Knoxville city, Tennessee,2010,91222,112300.0,671.0,83212,8010,42777,40435,2.15,3610.0,4583.0,9456.0,9652.0,24414.0,15274.0,10663.0,6889.0,6681.0,91222.0
"Memphis city, Tennessee",Memphis city, Tennessee,2010,293845,100500.0,781.0,241400,52445,125745,115655,2.57,6715.0,13398.0,27137.0,39779.0,58718.0,45452.0,54445.0,22014.0,26187.0,293845.0
"Murfreesboro city, Tennessee",Murfreesboro city, Tennessee,2010,46043,172600.0,797.0,40659,5384,21450,19209,2.48,5991.0,7402.0,12452.0,6444.0,5816.0,4124.0,1515.0,781.0,1518.0,46043.0
"Nashville-Davidson metropolitan government (balance), Tennessee",Nashville-Davidson metropolitan government (balance), Tennessee,2010,273910,170300.0,775.0,240618,33292,128981,111637,2.47,19242.0,22744.0,31599.0,44804.0,54409.0,35189.0,30888.0,14351.0,20684.0,273910.0
"Abilene city, Texas",Abilene city, Texas,2010,48753,95300.0,771.0,42530,6223,23250,19280,2.54,3515.0,2308.0,3856.0,8424.0,5975.0,5684.0,11158.0,3876.0,3957.0,48753.0
"Allen city, Texas",Allen city, Texas,2010,30621,197300.0,1114.0,28514,2107,21309,7205,3.11,4906.0,9054.0,8887.0,5127.0,1900.0,76.0,589.0,0.0,82.0,30621.0
"Amarillo city, Texas",Amarillo city, Texas,2010,80038,112900.0,682.0,73269,6769,45496,27773,2.76,5058.0,6009.0,5859.0,11479.0,12252.0,12916.0,15138.0,6761.0,4566.0,80038.0
"Arlington city, Texas",Arlington city, Texas,2010,146638,130800.0,844.0,133491,13147,76848,56643,2.83,6202.0,14194.0,23855.0,42822.0,33920.0,11957.0,10628.0,1561.0,1499.0,146638.0
"Atascocita CDP, Texas",Atascocita CDP, Texas,2010,23976,151800.0,1116.0,22298,1678,17906,4392,3.09,4690.0,7332.0,4288.0,4373.0,2746.0,0.0,258.0,214.0,75.0,23976.0
"Austin city, Texas",Austin city, Texas,2010,354988,214500.0,901.0,323282,31706,145720,177562,2.56,38366.0,43926.0,54224.0,73208.0,70231.0,28166.0,23859.0,12523.0,10485.0,354988.0
"Baytown city, Texas",Baytown city, Texas,2010,27728,101700.0,831.0,23077,4651,14677,8400,3.38,2095.0,2019.0,3002.0,4370.0,5146.0,4666.0,3902.0,1855.0,673.0,27728.0
"Beaumont city, Texas",Beaumont city, Texas,2010,48442,94700.0,754.0,42856,5586,23660,19196,2.68,3291.0,1791.0,4218.0,8684.0,8809.0,5868.0,9671.0,2297.0,3813.0,48442.0
"Brownsville city, Texas",Brownsville city, Texas,2010,53549,79500.0,635.0,46696,6853,28448,18248,3.88,7623.0,7138.0,10842.0,8185.0,8884.0,5752.0,2996.0,1431.0,698.0,53549.0
"Bryan city, Texas",Bryan city, Texas,2010,31249,103100.0,703.0,27408,3841,13956,13452,2.8,1706.0,2786.0,4174.0,6879.0,6232.0,2602.0,3644.0,1017.0,2209.0,31249.0
"Carrollton city, Texas",Carrollton city, Texas,2010,45151,167100.0,909.0,42745,2406,28157,14588,2.88,1999.0,3251.0,8653.0,17995.0,8565.0,3038.0,1482.0,0.0,168.0,45151.0
"College Station city, Texas",College Station city, Texas,2010,36055,169300.0,889.0,33477,2578,11835,21642,2.66,5589.0,5610.0,7883.0,6782.0,5702.0,1586.0,2040.0,400.0,463.0,36055.0
"Corpus Christi city, Texas",Corpus Christi city, Texas,2010,124620,117600.0,807.0,110954,13666,64265,46689,2.84,8912.0,8035.0,12500.0,24083.0,24027.0,14590.0,20125.0,6776.0,5572.0,124620.0
"Dallas city, Texas",Dallas city, Texas,2010,514372,131500.0,789.0,447680,66692,194231,253449,2.84,30508.0,36062.0,49825.0,92963.0,93145.0,78289.0,73933.0,30607.0,29040.0,514372.0
"Denton city, Texas",Denton city, Texas,2010,44642,147400.0,780.0,41007,3635,18867,22140,2.87,5530.0,7447.0,7055.0,10169.0,6635.0,3562.0,2099.0,1193.0,952.0,44642.0
"Edinburg city, Texas",Edinburg city, Texas,2010,26422,97600.0,590.0,24065,2357,14036,10029,3.42,4756.0,5424.0,6473.0,3536.0,3687.0,1841.0,506.0,48.0,151.0,26422.0
"El Paso city, Texas",El Paso city, Texas,2010,230485,115200.0,676.0,210754,19731,125754,85000,3.13,17614.0,21034.0,31791.0,36990.0,41778.0,30514.0,28949.0,8349.0,13466.0,230485.0
"Flower Mound town, Texas",Flower Mound town, Texas,2010,22648,256200.0,1474.0,21919,729,20659,1260,3.07,769.0,4423.0,11608.0,4440.0,551.0,519.0,136.0,141.0,61.0,22648.0
"Fort Worth city, Texas",Fort Worth city, Texas,2010,291676,124400.0,806.0,261042,30634,154043,106999,2.98,43880.0,44612.0,32615.0,37978.0,31792.0,25605.0,30393.0,18938.0,25863.0,291676.0
"Frisco city, Texas",Frisco city, Texas,2010,38664,251900.0,1065.0,37454,1210,29378,8076,3.28,11426.0,14474.0,9094.0,2043.0,1146.0,130.0,69.0,210.0,72.0,38664.0
"Garland city, Texas",Garland city, Texas,2010,80577,119600.0,876.0,74524,6053,48216,26308,3.05,2795.0,5819.0,7815.0,21436.0,19848.0,12972.0,7673.0,1745.0,474.0,80577.0
"Grand Prairie city, Texas",Grand Prairie city, Texas,2010,62231,123300.0,840.0,57078,5153,35996,21082,3.25,8379.0,9527.0,8792.0,11818.0,10933.0,4899.0,4000.0,2557.0,1326.0,62231.0
"Harlingen city, Texas",Harlingen city, Texas,2010,26620,75500.0,670.0,21265,5355,12341,8924,3.05,1499.0,2200.0,4776.0,4223.0,6591.0,2149.0,2219.0,2237.0,726.0,26620.0
"Houston city, Texas",Houston city, Texas,2010,902745,124700.0,794.0,762309,140436,352374,409935,2.9,65534.0,72693.0,80127.0,125368.0,231169.0,144059.0,99865.0,43929.0,40001.0,902745.0
"Irving city, Texas",Irving city, Texas,2010,91912,137900.0,854.0,80792,11120,33013,47779,2.97,6433.0,4708.0,13373.0,28572.0,14084.0,13413.0,9930.0,742.0,657.0,91912.0
"Killeen city, Texas",Killeen city, Texas,2010,52350,104900.0,790.0,44892,7458,22902,21990,3.03,8708.0,6984.0,10924.0,9154.0,7022.0,4194.0,4714.0,471.0,179.0,52350.0
"Laredo city, Texas",Laredo city, Texas,2010,68756,113500.0,679.0,62830,5926,37233,25597,3.84,9946.0,8842.0,17602.0,10266.0,8773.0,5120.0,3708.0,1669.0,2830.0,68756.0
"League City city, Texas",League City city, Texas,2010,31413,179700.0,1026.0,29767,1646,21867,7900,2.99,9948.0,6937.0,5873.0,4179.0,2476.0,1404.0,397.0,199.0,0.0,31413.0
"Lewisville city, Texas",Lewisville city, Texas,2010,40037,157200.0,897.0,36870,3167,16642,20228,2.94,4787.0,6633.0,10441.0,9683.0,6524.0,1397.0,378.0,0.0,194.0,40037.0
"Longview city, Texas",Longview city, Texas,2010,32600,128000.0,726.0,29520,3080,16866,12654,2.57,1833.0,1693.0,3426.0,5811.0,8052.0,4707.0,4733.0,1013.0,1332.0,32600.0
"Lubbock city, Texas",Lubbock city, Texas,2010,98076,113200.0,764.0,88714,9362,47991,40723,2.55,9514.0,8561.0,10355.0,16460.0,19196.0,13104.0,13935.0,4591.0,2360.0,98076.0
"McAllen city, Texas",McAllen city, Texas,2010,48754,105300.0,701.0,42155,6599,25234,16921,3.29,8083.0,7059.0,10046.0,7097.0,9364.0,2493.0,2802.0,862.0,948.0,48754.0
"McKinney city, Texas",McKinney city, Texas,2010,47182,181900.0,1026.0,43306,3876,31284,12022,3.03,11861.0,16605.0,11450.0,3071.0,819.0,1023.0,812.0,400.0,1141.0,47182.0
"Mesquite city, Texas",Mesquite city, Texas,2010,54111,112900.0,896.0,48732,5379,29146,19586,3.07,1782.0,6113.0,7760.0,13594.0,8401.0,8690.0,5883.0,960.0,928.0,54111.0
"Midland city, Texas",Midland city, Texas,2010,45294,148400.0,851.0,40192,5102,25695,14497,2.9,3273.0,2829.0,3878.0,9386.0,8294.0,5306.0,9297.0,1912.0,1119.0,45294.0
"Mission city, Texas",Mission city, Texas,2010,25596,99800.0,674.0,21257,4339,14761,6496,3.71,5514.0,5436.0,6096.0,3473.0,2617.0,652.0,575.0,757.0,476.0,25596.0
"Missouri City city, Texas",Missouri City city, Texas,2010,21939,147100.0,1383.0,21435,504,18252,3183,3.18,1775.0,2707.0,4289.0,5584.0,6570.0,588.0,234.0,146.0,46.0,21939.0
"North Richland Hills city, Texas",North Richland Hills city, Texas,2010,25891,145900.0,805.0,24978,913,15273,9705,2.78,1760.0,3197.0,3720.0,6465.0,5200.0,3175.0,2082.0,57.0,235.0,25891.0
"Odessa city, Texas",Odessa city, Texas,2010,38798,99400.0,641.0,35261,3537,20552,14709,2.98,1692.0,1863.0,3355.0,6141.0,6913.0,4863.0,10875.0,2016.0,1080.0,38798.0
"Pasadena city, Texas",Pasadena city, Texas,2010,54854,99100.0,755.0,48270,6584,28404,19866,3.11,3399.0,3300.0,6071.0,6221.0,12524.0,8638.0,12275.0,2084.0,342.0,54854.0
"Pearland city, Texas",Pearland city, Texas,2010,31774,182300.0,1174.0,29856,1918,23728,6128,3.27,8110.0,8418.0,7435.0,2903.0,3363.0,1177.0,338.0,0.0,30.0,31774.0
"Pharr city, Texas",Pharr city, Texas,2010,22654,73800.0,625.0,19236,3418,11788,7448,3.89,4070.0,4585.0,5015.0,4747.0,1417.0,1451.0,566.0,42.0,761.0,22654.0
"Plano city, Texas",Plano city, Texas,2010,105307,220500.0,963.0,97524,7783,64034,33490,2.91,6016.0,13125.0,34936.0,31011.0,16023.0,3565.0,536.0,95.0,0.0,105307.0
"Richardson city, Texas",Richardson city, Texas,2010,40093,178100.0,970.0,38073,2020,23152,14921,2.61,1505.0,2725.0,6375.0,5724.0,11194.0,8588.0,3493.0,305.0,184.0,40093.0
"Round Rock city, Texas",Round Rock city, Texas,2010,36378,165800.0,1019.0,34092,2286,18735,15357,2.97,7332.0,8253.0,8930.0,7941.0,3205.0,363.0,354.0,0.0,0.0,36378.0
"San Angelo city, Texas",San Angelo city, Texas,2010,40024,94700.0,620.0,35329,4695,22476,12853,2.52,2294.0,1086.0,4737.0,6338.0,8968.0,5590.0,5967.0,2431.0,2613.0,40024.0
"San Antonio city, Texas",San Antonio city, Texas,2010,525799,115100.0,769.0,470223,55576,262804,207419,2.97,43628.0,54677.0,71013.0,92006.0,92043.0,57317.0,56674.0,27984.0,30457.0,525799.0
"Sugar Land city, Texas",Sugar Land city, Texas,2010,29300,251000.0,1377.0,25851,3449,20669,5182,3.21,2483.0,3322.0,7288.0,10618.0,4670.0,591.0,220.0,50.0,58.0,29300.0
"Temple city, Texas",Temple city, Texas,2010,28818,112000.0,759.0,23304,5514,14258,9046,2.89,2821.0,2870.0,4127.0,4542.0,6034.0,3153.0,2708.0,993.0,1570.0,28818.0
"The Woodlands CDP, Texas",The Woodlands CDP, Texas,2010,37805,257100.0,900.0,35227,2578,26478,8749,2.77,5491.0,8679.0,11574.0,8306.0,3289.0,422.0,0.0,0.0,44.0,37805.0
"Tyler city, Texas",Tyler city, Texas,2010,43522,122100.0,784.0,39661,3861,22729,16932,2.62,4397.0,2585.0,4645.0,7229.0,8011.0,5605.0,4772.0,3241.0,3037.0,43522.0
"Waco city, Texas",Waco city, Texas,2010,51368,91300.0,720.0,44462,6906,21257,23205,2.7,3549.0,3308.0,3883.0,8290.0,9352.0,6030.0,9974.0,4547.0,2435.0,51368.0
"Wichita Falls city, Texas",Wichita Falls city, Texas,2010,42831,88600.0,671.0,37237,5594,21474,15763,2.71,2332.0,1623.0,4309.0,5737.0,7099.0,7932.0,7030.0,2252.0,4517.0,42831.0
"Layton city, Utah",Layton city, Utah,2010,21997,216000.0,787.0,21175,822,15186,5989,3.44,1674.0,2673.0,6299.0,4496.0,4187.0,1226.0,821.0,148.0,473.0,21997.0
"Ogden city, Utah",Ogden city, Utah,2010,32131,143100.0,712.0,29645,2486,15657,13988,2.87,1994.0,2203.0,2464.0,3205.0,4359.0,3444.0,4474.0,3145.0,6843.0,32131.0
"Orem city, Utah",Orem city, Utah,2010,27397,202900.0,809.0,26481,916,16655,9826,3.56,1319.0,2874.0,6389.0,4718.0,5623.0,2106.0,2393.0,1393.0,582.0,27397.0
"Provo city, Utah",Provo city, Utah,2010,31809,213000.0,676.0,29703,2106,13009,16694,3.23,1889.0,3188.0,5643.0,3329.0,6533.0,4568.0,2359.0,1694.0,2606.0,31809.0
"St. George city, Utah",St. George city, Utah,2010,33169,225300.0,814.0,26292,6877,16963,9329,2.72,3956.0,7796.0,9680.0,5987.0,3621.0,1318.0,311.0,328.0,172.0,33169.0
"Salt Lake City city, Utah",Salt Lake City city, Utah,2010,81294,244800.0,738.0,73324,7970,34903,38421,2.66,1738.0,4037.0,3580.0,7955.0,9948.0,7843.0,10377.0,10285.0,25531.0,81294.0
"Sandy city, Utah",Sandy city, Utah,2010,28859,281300.0,898.0,27858,1001,21414,6444,3.24,1252.0,2168.0,5647.0,6660.0,9918.0,1557.0,289.0,398.0,970.0,28859.0
"West Jordan city, Utah",West Jordan city, Utah,2010,30957,225100.0,997.0,29815,1142,23566,6249,3.53,3253.0,5187.0,9402.0,6757.0,5202.0,494.0,259.0,137.0,266.0,30957.0
