0.6,-888888888,1168,"Lincoln County, Washington",53,043
23.2,-888888888,7559,"Chelan County, Washington",53,007
2.0,-888888888,5626,"Jefferson County, Washington",53,031
2.3,-888888888,35746,"Kitsap County, Washington",53,035
6.6,-888888888,441453,"King County, Washington",53,033
7.7,-888888888,1784,"Pacific County, Washington",53,049
1.1,-888888888,1258,"Pend Oreille County, Washington",53,051
5.2,-888888888,3450,"San Juan County, Washington",53,055
3.7,-888888888,1119,"Skamania County, Washington",53,059
3.7,-888888888,5860,"Whitman County, Washington",53,075
38.7,-888888888,14009,"Yakima County, Washington",53,077
2.5,-888888888,8087,"Clallam County, Washington",53,009
4.9,-888888888,6964,"Cowlitz County, Washington",53,015
2.1,-888888888,666,"Ferry County, Washington",53,019
6.9,-888888888,5137,"Lewis County, Washington",53,041
25.9,-888888888,3381,"Douglas County, Washington",53,017
3.2,-888888888,11517,"Island County, Washington",53,029
23.4,-888888888,141,"Echols County, Georgia",13,101
6.4,-888888888,9697,"Glynn County, Georgia",13,127
7.9,-888888888,117894,"DeKalb County, Georgia",13,089
0.9,-888888888,1468,"Haralson County, Georgia",13,143
6.0,-888888888,5270,"Jackson County, Georgia",13,157
1.8,-888888888,766,"Jefferson County, Georgia",13,163
0.5,-888888888,2308,"Jones County, Georgia",13,169
2.0,-888888888,477,"Lincoln County, Georgia",13,181
11.7,-888888888,1701,"Murray County, Georgia",13,213
5.1,-888888888,19564,"Muscogee County, Georgia",13,215
4.6,-888888888,451,"Pulaski County, Georgia",13,235
8.5,-888888888,1896,"Rabun County, Georgia",13,241
17.2,-888888888,359,"Stewart County, Georgia",13,259
1.1,-888888888,1244,"Towns County, Georgia",13,281
1.8,-888888888,526,"Treutlen County, Georgia",13,283
4.9,-888888888,437,"Turner County, Georgia",13,287
21.7,-888888888,206,"Atkinson County, Georgia",13,003
8.7,-888888888,794,"Appling County, Georgia",13,001
0.7,-888888888,656,"Brantley County, Georgia",13,025
4.5,-888888888,779,"Ben Hill County, Georgia",13,017
1.9,-888888888,5890,"Catoosa County, Georgia",13,047
3.9,-888888888,991,"Chattooga County, Georgia",13,055
3.9,-888888888,19636,"Columbia County, Georgia",13,073
7.5,-888888888,7424,"Floyd County, Georgia",13,115
7.8,-888888888,42712,"Forsyth County, Georgia",13,117
2.4,-888888888,1539,"Hart County, Georgia",13,147
3.8,-888888888,9519,"Lowndes County, Georgia",13,185
1.1,-888888888,937,"Meriwether County, Georgia",13,199
6.2,-888888888,1898,"Putnam County, Georgia",13,237
4.7,-888888888,1860,"Sumter County, Georgia",13,261
0.7,-888888888,304,"Warren County, Georgia",13,301
6.3,-888888888,139,"Baker County, Georgia",13,007
2.3,-888888888,1169,"Butts County, Georgia",13,035
7.8,-888888888,671,"Candler County, Georgia",13,043
5.1,-888888888,7749,"Carroll County, Georgia",13,045
0.6,-888888888,551,"Early County, Georgia",13,099
2.6,-888888888,1537,"Crisp County, Georgia",13,081
5.4,-888888888,16644,"Coweta County, Georgia",13,077
12.0,-888888888,142039,"Cobb County, Georgia",13,067
1.8,-888888888,1039,"Dade County, Georgia",13,083
3.5,-888888888,511,"Wilkes County, Georgia",13,317
4.7,-888888888,1011,"Brooks County, Georgia",13,027
13.8,-888888888,2857,"Gordon County, Georgia",13,129
4.9,-888888888,824,"Elbert County, Georgia",13,105
5.7,-888888888,21500,"Fayette County, Georgia",13,113
2.5,-888888888,455,"Jenkins County, Georgia",13,165
3.9,-888888888,8429,"Newton County, Georgia",13,217
5.0,-888888888,1599,"Greene County, Georgia",13,133
16.4,-888888888,2277,"Colquitt County, Georgia",13,071
3.2,-888888888,3129,"Dawson County, Georgia",13,085
11.6,-888888888,21427,"Clayton County, Georgia",13,063
25.3,-888888888,17222,"Hall County, Georgia",13,139
1.8,-888888888,147839,"Honolulu County, Hawaii",15,003
3.1,-888888888,19943,"Maui County, Hawaii",15,009
2.2,-888888888,9,"Kalawao County, Hawaii",15,005
3.0,-888888888,327,"Oneida County, Idaho",16,071
6.5,-888888888,1279,"Gem County, Idaho",16,045
