GEO_ID,NAME,COUNTY,STATE,TOT_HOUSEHOLD,POPULATION,TOT_ENROLLED,PRE_K,KINDER,ELEMENTARY,HIGH_SCHOOL,COLLEGE,COLLEGE_POP
0500000US27027,"Clay County, Minnesota",Clay County, Minnesota,27301.0,63315.0,19801.0,7.7,3.8,40.0,16.0,32.5,6435.325
0500000US27035,"Crow Wing County, Minnesota",Crow Wing County, Minnesota,28475.0,66717.0,14194.0,7.3,5.6,47.7,20.4,19.0,2696.86
0500000US27037,"Dakota County, Minnesota",Dakota County, Minnesota,175139.0,439887.0,107290.0,7.0,5.7,43.7,24.5,19.3,20706.97
0500000US27053,"Hennepin County, Minnesota",Hennepin County, Minnesota,542072.0,1230620.0,297893.0,6.4,4.1,39.9,21.2,28.3,84303.71900000001
0500000US27109,"Olmsted County, Minnesota",Olmsted County, Minnesota,68745.0,160545.0,36782.0,6.0,4.0,51.1,20.1,18.9,6951.797999999999
0500000US27123,"Ramsey County, Minnesota",Ramsey County, Minnesota,221871.0,519082.0,135963.0,6.1,5.8,39.6,21.7,26.9,36574.04699999999
0500000US27131,"Rice County, Minnesota",Rice County, Minnesota,23616.0,60241.0,17876.0,4.3,2.6,36.2,18.4,38.4,6864.384
0500000US27137,"St. Louis County, Minnesota",St. Louis County, Minnesota,87295.0,192391.0,45349.0,5.4,5.4,35.0,18.8,35.4,16053.545999999998
0500000US27139,"Scott County, Minnesota",Scott County, Minnesota,54671.0,153267.0,40028.0,5.6,4.1,47.5,23.9,18.9,7565.291999999999
0500000US27141,"Sherburne County, Minnesota",Sherburne County, Minnesota,35577.0,99050.0,25397.0,4.9,9.0,42.0,26.1,18.0,4571.46
0500000US27145,"Stearns County, Minnesota",Stearns County, Minnesota,62331.0,152926.0,41379.0,4.7,3.7,35.4,21.6,34.6,14317.134000000002
0500000US27163,"Washington County, Minnesota",Washington County, Minnesota,106606.0,272333.0,66038.0,6.5,5.7,46.7,22.9,18.3,12084.954
0500000US27171,"Wright County, Minnesota",Wright County, Minnesota,54884.0,146947.0,37525.0,5.7,8.3,45.3,24.9,15.8,5928.95
0500000US28033,"DeSoto County, Mississippi",DeSoto County, Mississippi,69746.0,190791.0,49682.0,4.7,4.9,42.4,24.3,23.7,11774.634
0500000US28035,"Forrest County, Mississippi",Forrest County, Mississippi,30635.0,73619.0,25434.0,5.2,0.8,35.5,14.3,44.2,11241.828
0500000US28047,"Harrison County, Mississippi",Harrison County, Mississippi,83711.0,206587.0,48306.0,5.9,5.6,42.0,25.5,21.0,10144.26
0500000US28049,"Hinds County, Mississippi",Hinds County, Mississippi,88435.0,208830.0,60217.0,5.8,4.2,37.3,19.4,33.2,19992.044
0500000US28059,"Jackson County, Mississippi",Jackson County, Mississippi,58331.0,143783.0,33245.0,6.5,4.4,43.5,25.3,20.3,6748.735000000001
0500000US28067,"Jones County, Mississippi",Jones County, Mississippi,25249.0,64832.0,14740.0,5.5,3.3,46.4,28.1,16.7,2461.58
